competency_code,competency_direction,competency_title,indicator_code,indicator_title,krm_basic_descriptor,krm_intermediate_descriptor,krm_advanced_descriptor,course_target_level,course_descriptor,source
LC-5,"Промышленная разработка, развертывание, эксплуатация и мониторинг систем ИИ","Способен применять и (или) проектировать различные инструменты и инженерные практики промышленной разработки, развертывания, эксплуатации и мониторинга систем ИИ",LC-5.1,"Осуществляет выбор инструментов и инженерных практик промышленной разработки систем ИИ, развертывания и сопровождения моделей МО в продуктивной среде","Тестирует, испытывает и оценивает качество инструментов и инженерных практик промышленной разработки систем ИИ, развертывания и сопровождения моделей МО в рабочей версии ПО","Настраивает и кастомизирует различные инструменты и инженерные практики промышленной разработки систем ИИ, развертывания и сопровождения моделей МО в рабочей версии ПО","Разрабатывает специализированные инструменты и инженерные практики промышленной разработки систем ИИ, развертывания и сопровождения моделей МО в рабочей версии ПО",С,"Знает этапы жизненного цикла и назначение инструментов; умеет выбирать и настраивать стек, автоматизировать сборку, тестирование и доставку; владеет практикой создания, обновления, наблюдения и отката ML-сервиса.","krm-v3.0.xlsx; лист 'Профессиональные', C124:J124"
LC-5,"Промышленная разработка, развертывание, эксплуатация и мониторинг систем ИИ","Способен применять и (или) проектировать различные инструменты и инженерные практики промышленной разработки, развертывания, эксплуатации и мониторинга систем ИИ",LC-5.2,"Осуществляет выбор инструментов и инженерных практик по управлению данными с необходимым уровнем доступа, контроля качества, резервирования и скоростью выполнения запросов",Применяет системы контроля версий данных (DVC),"Настраивает инструменты виртуализации и контейнеризации (Docker, Kubernetes)",Кастомизирует и разрабатывает специализированные инструменты управления данными,С,"Знает принципы версионирования данных, моделей, конфигураций и артефактов; умеет применять DVC и связывать версии; владеет воспроизводимым контуром управления данными и ML-артефактами.","krm-v3.0.xlsx; лист 'Профессиональные', G125:J125 (компетенция — C124:E124)"
LC-2,"Моделирование, проведение экспериментов","Способен проводить эксперименты на данных, формулировать гипотезы исследования, строить (обучать, дообучать) модели ИИ с оценкой их качества и анализом ошибок, обеспечивать воспроизводимость и масштабируемость исследований на данных",LC-2.1,"Проводит эксперименты с моделями ИИ, оценивает их качество (точность, производительность)","Проводит эксперименты с моделями, выдвигает гипотезы",Владеет инструментами автоматизации проведения экспериментов в области ИИ,"Создает промышленные образцы, доказывающие применимость новых моделей или технологий",С,"Знает требования к воспроизводимому эксперименту и метрики; умеет логировать и сравнивать запуски; владеет анализом ошибок, регрессионным тестированием и принятием решения об обновлении.","krm-v3.0.xlsx; лист 'Профессиональные', C118:J118"
LC-3,Проектирование систем ИИ (ML System Design),Способен проектировать и поддерживать архитектуру систем искусственного интеллекта,LC-3.1,Создает и развивает архитектуры системы ИИ на всех этапах жизненного цикла,"Определяет архитектуру ИИ, подходы к проектированию, выбор подходящего стека технологий ИИ для НИР и промышленной разработки",Применяет различные принципы и паттерны при проектировании архитектуры систем ИИ,"Обеспечивает масштабирование, управляет изменениями систем ИИ в ходе их эксплуатации и развития, обеспечивают вывод систем из эксплуатации",С,"Знает компоненты и архитектурные паттерны; умеет обосновывать стек и взаимодействие данных, обучения, инференса и мониторинга; владеет документированием архитектуры и планированием изменений.","krm-v3.0.xlsx; лист 'Профессиональные', C120:J120"
AI S -1,"Доверенный ИИ, управление рисками и безопасностью систем ИИ","Способен управлять рисками при разработке и использовании систем ИИ, выстраивать управление безопасностью ИИ в организации с учетом принципов этического использования ИИ",AI S -1.1,"Выявляет и моделирует угрозы на всём жизненном цикле ИИ-систем, оценивает и приоритизирует риски","Понимает основные категории рисков и атак на ИИ (отравление данных, кража модели через API, обход защиты). Применяет типовые методики (STRIDE, MITRE ATLAS) по готовым шаблонам. Следует в работе ГОСТ Р ISO/IEC 27005-2010; ПНСТ 836-2023 «ИИ. Функциональная безопасность»; методики ФСТЭК по оценке угроз (2024); знает международные фреймворки и стандарты NIST AI RMF 1.0; ISO/IEC 27005 (risk); MITRE ATLAS; STRIDE/PASTA.","Самостоятельно строит и поддерживает модели угроз для разных стадий жизненного цикла ИИ, рассчитывает риск-профиль, обосновывает приоритеты мер защиты.","Проектирует комплексные процессы моделирования угроз средствами АI для всей организации, интегрирует риск-метрики в бизнес-KPI, разрабатывает новые сценарии анализа угроз.",Б,"Знает эксплуатационные риски ML-систем; умеет применять базовые меры безопасной конфигурации, журналирования и отката; владеет документированием инцидента и выбором мер реагирования.","krm-v3.0.xlsx; лист 'Профессиональные', C137:J137"
